Total Kasus,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
2 Sep,395,"4,635","2,126",224,186,"1,061","31,741",156,"6,339","9,294","26,777",578,"2,474","2,018","6,494",336,578,"2,104","3,245","1,308","2,822","4,171","1,092","9,412",220,334,"1,038","1,579","1,206",598,"3,160",278,159,"1,833",,
3 Sep,403,"4,752","2,150",226,186,"1,075","32,441",157,"6,369","9,429","27,117",588,"2,551","2,103","6,633",351,586,"2,116","3,282","1,329","2,857","4,283","1,101","9,499",221,336,"1,061","1,579","1,223",599,"3,160",280,163,"1,849",,
4 Sep,434,"4,833","2,177",228,186,"1,096","33,260",170,"6,455","9,549","27,401",600,"2,639","2,193","6,670",356,595,"2,130","3,318","1,399","2,897","4,337","1,109","9,563",222,338,"1,116","1,579","1,248",604,"3,178",283,163,"1,855",,
5 Sep,434,"4,927","2,206",231,187,"1,116","33,991",181,"6,500","9,834","27,680",614,"2,775","2,193","6,707",359,595,"2,155","3,331","1,429","2,940","4,450","1,118","9,613",224,339,"1,223","1,579","1,266",620,"3,247",293,169,"1,875",,
6 Sep,434,"5,017","2,234",231,187,"1,157","34,792",181,"6,554","10,018","28,044",614,"2,952","2,193","6,802",359,595,"2,176","3,378","1,452","2,960","4,555","1,121","9,663",224,345,"1,253","1,579","1,288",622,"3,247",299,170,"1,879",,
7 Sep,434,"5,111","2,269",231,197,"1,189","35,454",181,"6,642","10,181","28,289",614,"2,962","2,193","6,851",360,647,"2,192","3,408","1,509","3,012","4,647","1,172","9,746",226,345,"1,301","1,579","1,317",630,"3,286",302,170,"1,905",,
8 Sep,494,"5,225","2,295",235,197,"1,216","36,383",181,"6,718","10,329","28,731",619,"3,018","2,193","6,889",367,654,"2,211","3,440","1,560","3,030","4,733","1,195","9,846",226,351,"1,344","1,579","1,364",633,"3,310",306,170,"1,916",,
9 Sep,504,"5,322","2,316",235,202,"1,268","37,224",187,"6,766","10,491","29,071",621,"3,114","2,208","6,996",368,654,"2,236","3,467","1,625","3,054","4,824","1,224","9,886",228,361,"1,428","1,579","1,375",645,"3,310",318,170,"1,923",,
10 Sep,504,"5,437","2,347",237,210,"1,298","38,228",212,"6,875","10,623","29,278",621,"3,244","2,238","7,134",374,654,"2,267","3,486","1,685","3,090","4,884","1,235","9,886",229,363,"1,489","1,579","1,375",649,"3,331",326,170,"1,952",,
11 Sep,504,"5,529","2,385",237,210,"1,313","39,128",222,"7,161","10,817","29,562",644,"3,345","2,248","7,235",378,724,"2,286","3,553","1,735","3,116","4,959","1,268","10,025",229,366,"1,557","1,584","1,413",666,"3,357",331,170,"1,960",,
12 Sep,504,"5,593","2,425",237,210,"1,325","39,793",229,"7,493","10,969","29,924",647,"3,445","2,263","7,319",379,761,"2,312","3,601","1,740","3,156","5,042","1,278","10,103",229,366,"1,581","1,584","1,420",671,"3,384",338,170,"1,967",,
13 Sep,504,"5,691","2,459",239,210,"1,332","40,751",233,"7,685","11,079","30,540",649,"3,588","2,269","7,397",385,761,"2,321","3,649","1,763","3,168","5,106","1,303","10,150",231,371,"1,607","1,592","1,420",671,"3,402",341,172,"1,971",,
14 Sep,556,"5,782","2,482",239,210,"1,355","42,245",233,"7,849","11,321","30,905",655,"3,770","2,269","7,474",394,838,"2,344","3,748","1,804","3,208","5,163","1,314","10,213",231,379,"1,693","1,592","1,513",691,"3,402",342,172,"2,019",,
15 Sep,701,"5,837","2,510",244,237,"1,370","43,226",233,"8,106","11,508","31,243",655,"3,854","2,287","7,530",394,862,"2,353","3,798","1,890","3,234","5,253","1,330","10,213",232,385,"1,759","1,593","1,526",703,"3,422",347,172,"2,058",,
16 Sep,"1,100","5,887","2,558",246,253,"1,420","44,171",241,"8,319","11,632","31,585",666,"4,033","2,407","7,587",404,869,"2,366","3,839","1,949","3,249","5,319","1,339","10,345",232,407,"1,783","1,609","1,526",725,"3,432",349,173,"2,081",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sembuh Harian,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
21-Mar,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar,,,,,,,5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Mar,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Mar,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
26-Mar,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar,,,,,,,6,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
28-Mar,,,,,,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-Mar,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
30-Mar,,,,,,,3,,2,,5,,,,,,,,,,1,,,,,,,,,,,,,,,
31-Mar,,,1,,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,
1-Apr,,10,5,,,,2,,,,1,,,,,,,,,,,,,,,,1,,1,,2,,,,,
2-Apr,,,,,,,2,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,
3-Apr,,,,,,,,,1,11,3,,,,,,,2,,,,,,4,,,,,,,1,,,,,
4-Apr,,,,,,,4,,,,4,,1,,,,,,1,,,,1,5,,,,,,,,,,,,
5-Apr,,8,,,,,,,,3,1,,,2,,,,,,,,,,,,,,,,,,,,,,
6-Apr,,,,,,,9,,1,,8,,,,,,,,,,,,,10,,,,,,,,,,,,
7-Apr,,,,,,,,,4,,3,1,,2,,,,,,,,,,2,,,,,,,,,,,,
8-Apr,,,,,,5,5,,,,5,,,3,,,,,,,,,,,,,,,,,,,,,,
9-Apr,1,,,,,,12,,2,4,3,,2,,,,,2,,,,,,2,,1,,1,,,,,,,,
10-Apr,,1,,,,,,,,,13,,,1,,,,,,6,,8,,1,,,,,,,,,,,,
11-Apr,,,,,,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,
12-Apr,,,,,,,60,,,1,4,,,,,,,,3,,,,,,2,,,,,,2,1,,,,
13-Apr,3,1,,,,,,,3,,5,,,1,,,,,,,1,1,,6,,,,,,,,,,,,
14-Apr,,1,,,,12,21,,1,,3,2,,,3,,,,,,,1,,2,,,,,,,,,,,,
15-Apr,,2,,,,,1,,,,5,,,,,1,,,,1,,,,9,,,,1,,,,,,,,
16-Apr,,9,,,,4,38,,5,,5,,4,,3,1,3,,1,,3,2,3,,,7,4,,,,10,,,,,
17-Apr,,4,2,,,3,2,,13,17,8,,,,,,,,,3,,,,1,,2,4,,,,,,,,,
18-Apr,,,,,,1,1,,,8,2,,1,,,,1,,,2,,,,,,,,,5,,3,,,,,
19-Apr,,2,,,,1,29,,4,7,2,1,,,,,,9,,,,,,,,,,,,,,,,,,
20-Apr,,4,8,1,,1,,1,7,,,,,1,3,,,,,,,1,,20,,,,,4,,10,,,,,
21-Apr,,,,1,1,2,56,,19,,2,1,,,,,2,,,,,,,10,1,,,,,,,,,,,
22-Apr,,5,12,,,,36,,4,3,1,,,,,,,,,,,8,,2,,,,,,,,,,,,
23-Apr,,8,,,,2,4,,8,,11,,,,,,,2,,3,,,,5,,,,,,,4,,,,,
24-Apr,,,4,,,4,1,,3,4,16,,,,1,,1,2,,1,,,1,1,,,3,,,,,,,,,
25-Apr,,15,,,,,7,,3,,5,,,,,,,5,,3,,,,1,,,1,,,,,,,,,
26-Apr,,5,,,,,1,,,14,5,,,,,,,,13,,6,,1,17,,,1,,1,,,,1,,,
27-Apr,,6,,,,1,2,,3,16,2,,1,1,,,,2,,3,,,,7,,,,,,,,,,,,
28-Apr,,7,,,,2,26,,7,1,4,,,1,6,,2,2,4,1,,14,,2,5,,1,1,1,,15,1,,,,
29-Apr,,8,,,,1,77,,4,12,8,,,,4,,,,,,3,5,1,10,,1,,,,,,1,,2,,
30-Apr,,17,1,,,3,46,,36,1,5,,,,,2,,7,1,1,,1,3,4,,2,1,,,,,,,,,
1-May,,8,,2,,1,2,,2,10,5,1,1,,3,1,4,,6,5,,,1,13,3,,,,,,1,,,,,
2-May,2,8,,,,4,25,,2,,3,,,,1,,7,1,,,3,,,10,,,7,,,,,1,,,,
3-May,,22,,,,1,120,,4,,9,,,4,,,20,4,7,5,,,,6,,4,3,2,,,,,,,,
4-May,1,8,,,,1,1,,6,,4,,,,,,,,7,2,,,,48,,,,,,,,,,,,
5-May,,1,83,,,2,72,,8,20,2,,,,,1,4,10,4,1,,,4,29,1,,1,,,,,,,,,
6-May,,6,5,,,1,37,,10,13,19,,,,,,11,7,,,,2,,7,,1,1,,,,,,,,,
7-May,,17,,,,4,4,,5,,7,3,,,,,6,4,,3,,5,,3,,,,,,,,1,,2,,
8-May,4,12,,2,,2,,,2,16,9,1,,14,,,4,23,2,5,,,,13,,,,,,,,,,4,,
9-May,,2,,,,,7,,18,12,12,,18,1,,,,7,,8,,,,9,,3,10,3,,,,,,3,,
10-May,,7,,,,1,51,2,,,3,,3,,,1,1,5,6,2,,,1,5,,,1,,,2,,,,,,
11-May,,6,24,1,,1,9,,11,56,14,,3,,,,4,13,9,11,,,,11,1,1,7,,,,,,,1,,
12-May,1,5,7,,,2,112,,,,14,8,4,,,,,,,3,9,,,7,,,3,,5,,,2,,,,
13-May,,5,4,,,5,102,,24,,16,2,5,,,7,5,9,9,13,,5,1,5,7,,,,,,,,,,,
14-May,1,3,1,,,,136,,5,,4,,11,10,,6,,24,,3,4,,,5,1,,,3,,,,13,,1,,
15-May,,9,,,,3,114,,17,5,16,,4,47,,3,,50,,2,,,7,,,4,1,,,,,2,,1,,
16-May,2,11,,,,6,19,,3,13,8,,2,,,6,3,,,3,1,,,19,1,4,1,,,3,,1,1,1,,
17-May,,7,1,16,,8,11,1,58,,10,2,3,,49,12,,12,,4,,5,,7,2,,6,,,,,,4,,,
18-May,,7,3,1,,5,1,,77,5,25,8,10,,,,3,13,,12,,,,18,2,,1,,4,,,,,,,
19-May,,10,,,,5,22,,14,,38,,5,,,10,,,4,10,,,1,21,,,1,,,,,2,,,,
20-May,,9,,,,2,,,1,1,12,,4,18,3,,,,,28,,16,,9,,3,1,,,1,,,,,,
21-May,,4,9,,2,8,129,,10,2,16,4,11,10,,,,4,1,7,,,,31,11,2,,,1,1,,,,,,
22-May,,4,1,2,6,12,52,4,10,,10,2,6,15,1,6,,3,17,5,,28,5,19,,3,3,,,4,,1,,,,
23-May,2,3,,,,4,54,,39,,13,,3,,,,3,7,5,18,1,,21,6,,2,,,,8,,1,,2,,
24-May,,6,4,1,,1,22,5,8,4,39,,,,,2,1,,2,5,2,6,,33,9,2,,,,,,,,1,,
25-May,,2,,,,2,69,2,,1,24,5,12,21,3,8,1,31,10,6,,5,,6,,2,,2,5,3,20,,,,,
26-May,,,2,,,7,13,,26,15,17,1,6,,,1,,,2,22,1,1,49,37,2,4,10,3,,13,,2,1,,,
27-May,,7,3,,5,3,14,,37,,16,,5,,,1,1,14,,28,1,2,10,19,2,4,1,1,,1,,3,2,,,
28-May,,12,24,,,8,19,,45,1,26,,6,,,,,1,9,6,2,2,,2,2,,3,3,7,2,,2,,1,,
29-May,,6,12,,6,7,37,,6,60,22,3,9,7,2,3,8,3,14,8,1,,3,12,,7,4,,1,4,,,3,4,,
30-May,,8,27,,2,9,266,,24,19,19,,18,6,15,,5,3,32,6,1,5,,32,,12,1,6,,7,,,,,,
31-May,,1,,,,2,77,,3,6,20,6,11,,2,,,12,34,9,11,23,9,32,9,4,3,,1,6,,7,2,3,,
1-Jun,,5,8,1,,6,190,,,9,45,2,2,,,8,,1,12,2,1,2,,29,,3,1,2,,,,,,,,
2-Jun,,,21,,3,2,127,,29,1,45,,1,18,,1,,,9,5,,3,3,,,6,3,,,,10,8,,3,,
3-Jun,,15,,,,2,187,2,53,,100,24,2,9,2,1,1,5,2,5,4,9,7,11,3,3,4,1,19,,,,,,,
4-Jun,1,15,6,1,,4,21,10,18,1,290,15,7,,,8,,2,22,35,6,7,,3,6,3,3,,,2,,,,,,
5-Jun,,5,45,5,,,144,,45,35,118,15,,,3,5,,,17,21,,5,9,34,8,6,1,,9,17,,1,,3,,
6-Jun,,2,41,,12,4,85,,15,2,154,5,22,,,12,12,12,32,3,,7,3,,8,6,1,3,3,,,8,,12,,
7-Jun,,2,5,1,3,4,294,,99,9,48,,4,11,4,2,5,14,47,4,2,,10,,7,3,,,,,,3,,10,,
8-Jun,,4,2,1,,3,76,,74,10,90,3,3,,9,20,,,47,11,9,10,1,,,1,2,,13,,,1,16,,,
9-Jun,,32,19,5,6,6,165,,10,80,85,,3,,1,1,2,,11,10,,,17,31,,3,4,,9,1,,1,,8,,
10-Jun,,3,10,1,1,3,146,,33,118,97,21,5,11,10,3,1,79,48,28,7,4,2,53,1,3,,4,,9,,,7,7,,
11-Jun,,12,10,1,1,1,144,,21,5,112,7,7,,36,2,5,44,55,3,17,12,4,,1,1,,2,,1,,3,,,,
12-Jun,,24,6,5,1,1,120,,41,50,72,1,11,2,15,,,72,38,15,,,2,73,,,1,1,15,1,,,,10,,
13-Jun,1,14,1,6,9,8,59,10,36,28,252,4,10,,22,1,5,21,14,4,2,,10,36,1,2,1,,1,,,4,,1,,
14-Jun,,12,22,9,,6,249,,42,20,75,9,12,17,30,1,3,36,61,12,2,5,7,36,19,3,,8,4,1,50,1,3,,,
15-Jun,,28,20,,4,1,106,,7,36,62,1,1,,16,,10,31,33,,7,6,2,142,6,1,2,,,,63,,,7,,
16-Jun,1,8,25,,1,2,134,8,9,30,71,7,13,11,6,,3,15,19,36,7,6,4,44,4,1,,,2,7,103,,,3,,
17-Jun,,32,23,5,2,3,116,,26,65,56,,17,,80,8,12,31,12,6,7,5,,16,4,1,1,,2,2,3,5,,,,
18-Jun,,11,27,27,,3,128,,54,20,78,6,18,39,14,1,4,20,26,17,7,7,,22,1,1,1,1,,22,,,,,,
19-Jun,,13,3,6,3,7,126,1,30,20,103,13,3,,13,3,5,14,31,11,8,16,1,43,,3,1,2,23,8,,1,,30,,
20-Jun,,20,31,6,3,5,122,,,20,102,9,6,10,25,,10,21,9,4,3,5,10,76,1,2,2,5,25,2,,,,,,
21-Jun,,17,1,,1,,233,,2,22,125,21,3,,10,,2,7,4,6,3,4,3,38,1,5,,,,,,,,13,,
22-Jun,,12,,,,7,74,,24,28,66,3,1,7,10,,1,13,17,2,2,4,,38,,,1,14,3,,,,,4,,
23-Jun,,24,13,10,,,100,20,30,50,60,4,1,7,28,,10,8,47,20,2,3,1,42,8,,,12,4,1,,1,,,,
24-Jun,,7,7,9,1,4,94,,9,10,80,5,10,,15,2,2,19,14,14,2,8,1,39,1,4,3,6,4,16,,,,31,,
25-Jun,,11,,1,5,5,112,,62,,241,7,20,,87,,2,6,76,22,3,18,,59,4,3,1,1,18,4,,1,,22,,
26-Jun,,73,13,3,10,5,108,,110,,193,6,5,29,15,,18,11,15,10,19,64,2,156,2,2,,8,6,1,,,,,,
27-Jun,2,21,8,1,1,5,68,3,15,22,190,10,5,,93,,2,5,16,10,1,18,,41,5,4,,2,22,2,,4,,,,
28-Jun,3,20,17,,,3,255,,7,14,101,8,11,,80,3,16,19,17,6,,10,,60,1,7,18,4,12,,335,,,,,
29-Jun,,12,7,1,,1,253,,2,43,171,4,1,49,5,,6,6,66,1,5,17,1,52,,1,27,,27,1,105,,,,,
30-Jun,1,15,4,1,,2,394,,85,50,121,5,9,,38,3,2,8,5,12,10,5,12,69,,1,10,2,7,,119,1,,15,,
1-Jul,5,62,21,1,1,1,168,8,15,100,187,3,15,,23,2,4,7,17,7,14,12,3,52,4,1,2,7,18,12,14,,,3,,
2-Jul,,15,222,2,1,5,191,,43,98,192,,14,,51,6,10,11,43,11,18,7,10,50,1,2,10,5,25,5,,1,14,9,,
3-Jul,,38,52,,3,2,238,,3,50,247,6,5,50,28,6,4,25,24,4,14,13,10,41,1,,12,2,9,,10,,,4,,
4-Jul,,24,9,,,4,268,,17,50,100,4,13,,42,3,1,6,11,2,17,21,4,41,2,1,5,4,,1,,,,1,,
5-Jul,,30,2,,1,1,286,4,17,50,154,19,3,20,32,,,9,40,1,18,19,12,95,2,1,3,,61,6,,,,,,
6-Jul,9,7,4,,,2,373,,16,60,104,,1,,15,,3,7,22,2,31,7,1,79,,4,4,,4,7,48,4,,,,
7-Jul,2,60,3,,1,4,241,,45,50,118,5,16,10,107,2,,8,28,10,18,9,11,45,1,,2,1,33,1,35,,,,,
8-Jul,9,45,6,3,2,3,147,,21,70,205,1,8,10,62,2,5,23,10,10,12,10,2,15,,,1,4,52,1,23,1,37,,,
9-Jul,3,92,24,1,,2,221,,27,30,263,2,8,10,23,9,12,12,4,8,27,11,5,189,,1,1,3,21,,57,,,,,
10-Jul,5,31,28,1,3,1,180,3,28,138,234,,10,10,55,1,,14,15,6,5,12,20,30,1,4,1,1,22,1,16,1,,1,,
11-Jul,4,150,30,1,1,3,215,,28,50,318,7,12,,75,,5,14,4,5,5,16,18,176,,,,,30,1,19,1,,2,,
12-Jul,,59,50,,,2,160,9,10,30,207,12,3,30,107,,7,13,34,5,1,22,5,107,1,3,1,1,25,5,7,3,,,,
13-Jul,,97,5,,1,2,208,,19,30,268,1,11,20,24,,,22,30,,8,13,1,259,,1,3,4,4,3,9,,,8,,
14-Jul,1,64,12,3,1,9,120,,28,30,352,13,8,,54,,1,24,19,11,16,20,4,144,2,,,4,,2,2,3,,,,
15-Jul,,41,33,4,1,5,193,2,140,120,521,,7,30,41,,2,14,14,5,12,8,3,113,7,1,1,3,11,4,59,,,19,,
16-Jul,1,106,15,17,1,4,134,,38,80,444,,15,,66,1,6,27,21,3,15,29,3,211,,,2,4,19,,9,4,,20,,
17-Jul,,88,10,,1,1,139,3,41,340,387,,18,80,42,2,,11,26,2,83,21,15,112,,1,,5,1,1,35,,,24,,
18-Jul,,66,12,1,,1,124,3,31,235,555,6,13,30,88,1,,13,4,4,73,39,3,81,,,,22,,2,11,1,12,3,,
19-Jul,,119,9,,3,8,326,3,4,420,474,4,1,74,30,,,19,17,4,21,25,8,519,1,4,1,10,4,4,13,1,,7,,
20-Jul,,66,13,,,3,154,,94,300,375,,20,,99,17,,13,1,,39,49,7,278,,3,5,5,10,3,10,9,3,,,
21-Jul,5,52,21,,1,3,266,,32,100,348,,4,30,191,,,14,10,7,51,30,4,288,2,1,2,6,9,1,7,,4,,,
22-Jul,5,68,8,2,,2,368,4,23,130,395,4,30,100,134,,,9,53,1,126,26,3,270,3,1,,8,,3,13,,,,,
23-Jul,2,74,4,,5,4,163,2,13,130,665,,52,78,115,,5,13,54,3,112,21,4,310,3,3,1,37,7,14,4,,,11,,
24-Jul,12,70,5,,1,1,269,1,19,100,421,,32,25,272,2,,16,55,6,55,33,11,331,,3,1,18,3,2,2,4,,11,,
25-Jul,2,86,7,3,,7,173,1,34,100,409,,25,50,180,1,9,13,29,13,22,24,1,134,1,2,10,5,,,52,2,,14,,
26-Jul,,81,10,1,,4,161,,23,100,363,,25,30,128,,,22,34,6,40,15,40,154,,3,12,4,2,,8,,,35,,
27-Jul,,81,23,,,3,111,,406,115,362,,22,25,66,2,,21,36,,26,13,8,132,,2,10,21,,2,16,,,15,,
28-Jul,,57,6,,,6,376,1,627,220,401,,34,20,157,,,6,14,7,63,19,3,189,3,3,5,22,47,29,9,,,42,,
29-Jul,,84,11,,1,12,247,2,48,277,538,,48,,71,,6,30,20,7,37,30,2,40,,,17,17,16,2,18,6,,11,,
30-Jul,,77,15,,,14,189,,334,377,445,,30,25,156,,,12,43,8,23,266,7,49,,,17,,2,27,13,7,,18,,
31-Jul,,88,45,,,17,405,,17,180,351,,15,41,67,,,24,37,2,16,106,8,109,,,3,,,,,8,,76,,
1-Aug,,48,12,,,11,679,,19,301,462,,7,21,82,,,,32,,19,131,7,71,1,,19,,45,,,,,45,,
2-Aug,,47,18,,,11,140,,7,150,191,,3,14,18,,,26,31,8,80,130,3,86,,,1,,4,3,22,4,10,49,,
3-Aug,,55,26,,,13,138,,48,110,466,,25,30,92,1,,9,7,2,49,39,48,,,16,4,17,2,,,3,,62,,
4-Aug,,59,12,2,,14,216,1,170,100,343,16,36,30,50,50,,11,26,3,38,64,72,141,2,4,12,213,6,9,47,3,,63,,
5-Aug,,45,5,7,17,29,379,,10,155,390,,58,28,96,,,29,25,3,35,74,8,155,1,,4,204,12,2,27,1,9,31,,
6-Aug,,38,28,,,20,246,,32,174,465,,46,5,25,,,15,94,11,31,69,56,75,2,4,12,88,11,39,49,,,121,,
7-Aug,,40,18,3,13,28,195,1,63,194,489,3,58,27,121,,1,27,90,10,30,52,14,74,1,2,9,4,7,5,223,7,1,102,,
8-Aug,,32,,3,,27,509,,37,68,464,,28,40,43,,,8,71,5,88,124,3,69,,5,4,,4,12,,7,,98,,
9 Aug,,29,1,1,,18,558,1,65,62,365,6,15,37,136,1,,14,64,3,43,35,12,58,,,9,,1,,105,7,,,,
10 Aug,,39,1,,1,23,178,,27,154,367,,83,34,24,13,9,10,78,9,20,27,21,55,,1,22,4,12,23,30,,,19,,
11 Aug,,48,9,,2,16,184,,39,90,363,,68,10,82,,6,55,59,9,51,40,7,122,,1,22,13,53,6,56,6,1,56,,
12 Aug,100,32,18,6,,24,819,1,71,131,345,,51,30,86,,1,53,1,11,30,51,10,62,1,2,11,51,29,8,15,,6,32,,
13 Aug,,37,49,,7,13,387,,29,103,423,18,30,70,26,7,11,48,43,20,20,148,38,60,1,4,47,36,24,19,9,9,,24,,
14 Aug,,59,9,,,12,692,1,8,53,468,1,67,22,57,,16,18,112,15,82,101,43,120,,,52,,1,9,3,4,,25,,
15 Aug,,42,20,,,4,526,1,36,59,455,6,12,30,36,,6,15,36,19,55,73,9,61,,13,45,48,27,2,36,12,1,18,,
16 Aug,,52,18,1,,13,654,,41,62,368,2,54,,83,,1,20,35,8,91,102,8,62,,,20,23,9,11,20,8,,16,,
17 Aug,,46,19,,,7,209,1,45,42,416,,66,30,126,2,10,13,28,18,68,46,13,87,,31,17,6,,1,4,,,4,,
18 Aug,,24,7,2,,13,588,,16,95,377,2,34,70,40,6,,19,15,4,82,81,7,223,,,22,,28,34,,6,,53,,
19 Aug,,53,31,3,,18,566,4,48,130,444,1,56,,136,4,7,21,38,20,38,94,,68,,2,19,458,21,25,6,1,,39,,
20 Aug,,50,10,,1,52,724,,71,136,409,14,21,12,74,,12,29,13,19,36,80,16,79,,1,36,1,,1,64,9,,47,,
21 Aug,,63,34,,1,28,433,4,122,100,414,,53,20,277,,45,110,50,42,134,70,19,90,2,1,26,,,1,150,,,28,,
22 Aug,,67,30,,,15,649,1,181,143,402,5,84,25,230,9,,26,19,7,29,80,9,69,7,1,30,,2,6,36,3,10,32,,
23 Aug,,72,20,,4,18,690,,517,58,331,19,52,38,76,4,19,15,59,37,67,76,7,92,,,16,,,,,7,1,7,,
24 Aug,,54,42,2,1,20,"1,896",,208,99,321,,10,10,47,3,3,8,85,12,34,65,8,93,1,12,52,,10,6,408,,,50,,
25 Aug,,51,16,5,1,11,524,2,5,120,348,,167,32,66,2,20,18,34,20,30,107,13,138,3,,12,14,45,,,3,,,,
26 Aug,,57,29,4,5,35,763,4,30,158,348,20,76,30,141,2,38,16,17,8,34,130,25,109,2,15,23,,31,22,339,4,,27,,
27 Aug,,74,21,,,31,"1,538",,86,215,341,41,51,24,184,2,7,21,59,55,20,117,45,93,1,11,18,53,16,9,12,4,6,11,,
28 Aug,,71,16,2,2,24,881,6,67,120,238,,44,,180,3,1,27,39,11,62,134,17,106,5,,42,,1,7,53,13,1,152,,
29 Aug,,67,108,3,,21,599,6,8,90,305,31,42,40,149,1,18,27,61,8,49,111,,80,,,23,18,2,,20,2,,13,,
30 Aug,55,28,37,,9,8,366,,21,82,223,,18,35,96,1,,24,16,39,52,102,41,80,1,3,28,,,1,5,7,,5,,
31 Aug,66,79,25,6,4,50,404,7,57,100,383,17,72,22,42,4,23,27,26,27,36,60,23,87,1,5,43,,56,6,,,,16,,
1 Sep,83,100,61,,,10,729,,52,121,324,,17,20,101,6,,28,65,19,33,99,15,75,,,20,,38,23,25,7,,27,,
2 Sep,,101,22,1,,25,474,,137,200,314,21,67,,105,1,3,29,23,66,51,106,5,90,,5,10,,10,6,21,1,3,17,,
3 Sep,8,117,24,2,,14,700,1,30,135,340,10,77,85,139,15,8,12,37,21,35,112,9,87,1,2,23,,17,1,,2,4,16,,
4 Sep,31,81,27,2,,21,819,13,86,120,284,12,88,90,37,5,9,14,36,70,40,54,8,64,1,2,55,,25,5,18,3,,6,,
5 Sep,,94,29,3,1,20,731,11,45,285,279,14,136,,37,3,,25,13,30,43,113,9,50,2,1,107,,18,16,69,10,6,20,,
6 Sep,,90,28,,,41,801,,54,184,364,,177,,95,,,21,47,23,20,105,3,50,,6,30,,22,2,,6,1,4,,
7 Sep,,94,35,,10,32,662,,88,163,345,,10,,49,1,52,16,30,57,52,92,51,83,2,,48,,29,8,39,3,,26,,
8 Sep,60,114,26,4,,27,929,,76,148,342,5,56,,38,7,7,19,32,51,18,86,23,100,,6,43,,47,3,24,4,,11,,
9 Sep,10,97,21,,5,52,841,6,48,162,340,2,96,15,107,1,,25,27,65,24,91,29,40,2,10,84,,11,12,,12,,7,,
10 Sep,,115,31,2,8,30,"1,004",25,109,132,207,,130,30,138,6,,31,19,60,36,60,11,,1,2,61,,,4,21,8,,29,,
11 Sep,,92,38,,,15,900,10,286,194,284,23,101,10,101,4,70,19,67,50,26,75,33,139,,3,68,5,38,17,26,5,,8,,
12 Sep,,64,40,,,12,665,7,332,152,362,3,100,15,84,1,37,26,48,5,40,83,10,78,,,24,,7,5,27,7,,7,,
13 Sep,,98,34,2,,7,958,4,192,110,616,2,143,6,78,6,,9,48,23,12,64,25,47,2,5,26,8,,,18,3,2,4,,
14 Sep,52,91,23,,,23,"1,494",,164,242,365,6,182,,77,9,77,23,99,41,40,57,11,63,,8,86,,93,20,,1,,48,,
15 Sep,145,55,28,5,27,15,981,,257,187,338,,84,18,56,,24,9,50,86,26,90,16,,1,6,66,1,13,12,20,5,,39,,
16 Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meninggal Dunia,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?,
18-Mar,,1,1,,,,12,,1,2,1,,,,,,,,,,,1,,,,,,,,,,,,,,
19-Mar,,1,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
20-Mar,,1,1,,,,18,,7,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,
21-Mar,,1,2,,,,23,,7,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,
22-Mar,,2,3,,,,29,,9,3,1,,,,,,,,,,,1,,,,,,,,,,,,,,
